Song	Artist	Album	Year Released	Cover Art					
200 for lunch	Gunna	WUNNA	2020	cmu://1012230/43624884/download.jpg					
Hate Me	Lil Yatchy, Ian	Hate Me	2024	cmu://1012230/43624979/800x800cc.jpg					
role model	soscamo	role maodel	2024	cmu://1012230/43625170/1200x630bf-60.jpg					
Rich in rome	Nino Paid,LAZERDIM,Ian	Rich in rome	2025	cmu://1012230/43625102/artworks-J3PSFntNwK1E-0-t1080x1080.jpg					
Yup!	dinuwar,fashion demon,prayeric,riphoops!	Yup!	2024	cmu://1012230/43625206/ab67616d0000b273d080eaffaf32bf6c40f7747c.jpg					
Old Me	Nino Paid	Old Me	2024	cmu://1012230/43625268/ab67616d0000b273dac79d62497956e46f755210.jpg					
Money Problems	   Nino Paid	Money Problems	2014	cmu://1012230/43625291/f4b65e631610c83fdbc3a0251affdeeb.1000x1000x1.png					
Flow Pt2	Shef G	The UNLUCCY	2019	cmu://1012230/43625323/images.jpg					
blue Collor	 J Johnson	Blue Collor	2025	cmu://1012230/43625521/artworks-8g2CPYESlirJ-0-t500x500.jpg					
Sorry not sorry	Veeze, Lil Y	sorry  not sorry	2024	cmu://1012230/43625488/ABABA.jpeg					
